TLD,Type,Requirements
REALTOR,Generic,None
REALTY,Generic,None
RECIPES,Generic,None
RED,Generic,None
REHAB,Generic,None
REISE,Generic,None
REISEN,Generic,None
RENT,Generic,None
RENTALS,Generic,None
REPAIR,Generic,None
REPORT,Generic,None
REPUBLICAN,Generic,None
REST,Generic,None
RESTAURANT,Generic,None
RETIREMENT,Generic,None
REVIEW,Generic,None
REVIEWS,Generic,None
RICH,Generic,None
RIP,Generic,None
ROCKS,Generic,None
RODEO,Generic,None
ROMA,Geographic,None
ROOM,Generic,None
RSVP,Generic,None
RU,Country,None
RU.COM,Country,None
RUGBY,Generic,None
RUHR,Geographic,None
RUN,Generic,None
RYUKYU,Geographic,None
SA.COM,Country,None
SAARLAND,Geographic,None
SAFE,Generic,None
SAFETY,Generic,None
SALE,Generic,None
SALON,Generic,None
SARI,Generic,None
SARL,Generic,None
SAVE,Generic,None
SB,Country,None
SBS,Generic,None
SC,Country,None
SCHOLARSHIPS,Generic,None
SCHOOL,Generic,None
SCHULE,Generic,None
SCIENCE,Generic,None
SCOT,Geographic,Intended use must be specified
SE,Country,Swedish personal/organization ID required
SE.NET,Country,None
SEARCH,Generic,None
SECURE,Generic,None
SECURITY,Generic,DNSSEC required
SELECT,Generic,None
SERVICES,Generic,None
SEX,Generic,None
SEXY,Generic,None
SH,Country,None
SHABAKA,Generic,None
SHIA,Generic,None
SHIKSHA,Generic,None
SHOES,Generic,None
SHOP,Generic,None
SHOPPING,Generic,None
SHOW,Generic,None
SINGLES,Generic,None
SITE,Generic,None
SKI,Generic,None
SKIN,Generic,None
SMILE,Generic,None
SO,Country,None
SOCCER,Generic,None
SOCIAL,Generic,None
SOFTWARE,Generic,None
SOLAR,Generic,None
SOLUTIONS,Generic,None
SONG,Generic,None
SOY,Generic,None
SPA,Generic,None
SPACE,Generic,None
SPORT,Generic,None
SPORTS,Generic,None
SPOT,Generic,None
SRL,Generic,None
STOCKHOLM,Geographic,None
STORAGE,Generic,None
STORE,Generic,None
STREAM,Generic,None
STUDIO,Generic,None
STUDY,Generic,None
STYLE,Generic,None
SUCKS,Generic,None
SUPPLIES,Generic,None
SUPPLY,Generic,None
SUPPORT,Generic,None
SURF,Generic,None
SURGERY,Generic,None
SWISS,Geographic,None
SYDNEY,Geographic,None
SYSTEMS,Generic,None
TAIPEI,Geographic,None
TALK,Generic,None
TATAR,Generic,None
TATTOO,Generic,None
TAX,Generic,None
TAXI,Generic,None
TEAM,Generic,None
TECH,Generic,None
TECHNOLOGY,Generic,None
TEL,Generic,None
TENNIS,Generic,None
TF,Country,EU resident required
THAI,Generic,None
THEATER,Generic,None
THEATRE,Generic,None
TICKETS,Generic,None
TIENDA,Generic,None
TIPS,Generic,None
TIRES,Generic,None
TIROL,Geographic,None
TL,Country,None
TODAY,Generic,None
TOKYO,Geographic,None
TOOLS,Generic,None
TOP,Generic,None
TOURS,Generic,None
TOWN,Generic,None
TOYS,Generic,None
TRADE,Generic,None
TRADING,Generic,None
TRAINING,Generic,None
TRAVEL,Generic,Travel industry member required
TRUST,Generic,None
TUBE,Generic,None
TV,Country,None
TW,Country,None
UK,Country,None
UK.COM,Country,None
UK.NET,Country,None
UNIVERSITY,Generic,None
UNO,Generic,None
US,Country,US citizen/permanent resident/entity required
US.COM,Country,None
VACATIONS,Generic,None
VANA,Generic,None
VC,Country,None
VEGAS,Geographic,None
VENTURES,Generic,None
VERSICHERUNG,Generic,None
VET,Professional,None
VIAJES,Generic,None
VIDEO,Generic,None
VILLAS,Generic,None
VIN,Generic,None
VIP,Generic,None
VISION,Generic,None
VLAANDEREN,Geographic,None
VODKA,Generic,None
VOTE,Generic,None
VOTING,Generic,None
VOTO,Generic,None
VOYAGE,Generic,None
VU,Country,None
WALES,Geographic,None
WANG,Generic,None
WATCH,Generic,None
WATCHES,Generic,None
WEATHER,Generic,None
WEB,Generic,None
WEBCAM,Generic,None
WEBS,Generic,None
WEBSITE,Generic,None
WEDDING,Generic,None
WF,Country,EU resident required
WIKI,Generic,None
WIN,Generic,None
WINE,Generic,None
WINNERS,Generic,None
WORK,Generic,None
WORKS,Generic,None
WORLD,Generic,None
WOW,Generic,None
WS,Country,None
WTF,Generic,None
कॉम,International,None
佛山,Geographic,None
慈善,Generic,None
集团,Generic,None
